Date,Principle,InstallmentAmount,InterestAcrued,InstallmentAmountAfterInterest,PrincipleAfterRemovingAmount,Balance
22/04/2016,12000,600,1.64383561643836,598.356164383562,11401.6438356164,0,
23/04/2016,11401.6438356164,600,1.56186901857759,598.438130981422,10803.205704635,0,
24/04/2016,10803.205704635,600,1.47989119241576,598.520108807584,10204.6855958274,0,
25/04/2016,10204.6855958274,600,1.39790213641472,598.602097863585,9606.08349796385,0,
26/04/2016,9606.08349796385,600,1.31590184903614,598.684098150964,9007.39939981288,0,
27/04/2016,9007.39939981288,600,1.23389032874149,598.766109671259,8408.63329014162,0,
28/04/2016,8408.63329014162,600,1.151867573992,598.848132426008,7809.78515771562,0,
29/04/2016,7809.78515771562,600,1.06983358324871,598.930166416751,7210.85499129886,0,
30/04/2016,7210.85499129886,600,0.987788354972447,599.012211645028,6611.84277965384,0,
01/05/2016,6611.84277965384,600,0.905731887623813,599.094268112376,6012.74851154146,0,
02/05/2016,6012.74851154146,600,0.823664179663214,599.176335820337,5413.57217572112,0,
03/05/2016,5413.57217572112,600,0.741585229550839,599.258414770449,4814.31376095067,0,
04/05/2016,4814.31376095067,600,0.659495035746668,599.340504964253,4214.97325598642,0,
05/05/2016,4214.97325598642,600,0.577393596710469,599.422606403289,3615.55064958313,0,
06/05/2016,3615.55064958313,600,0.495280910901799,599.504719089098,3016.04593049403,0,
07/05/2016,3016.04593049403,600,0.413156976780005,599.58684302322,2416.45908747081,0,
08/05/2016,2416.45908747081,600,0.331021792804221,599.668978207196,1816.79010926362,0,
09/05/2016,1816.79010926362,600,0.248875357433372,599.751124642567,1217.03898462105,0,
10/05/2016,1217.03898462105,600,0.166717669126171,599.833282330874,617.205702290178,0,
11/05/2016,617.205702290178,600,0.0845487263411202,599.915451273659,17.2902510165187,0,
12/05/2016,17.2902510165187,600,0.00236852753650941,599.997631472463,0,582.707380455945,
