Date,Principle,InstallmentAmount,InterestAcrued,InstallmentAmountAfterInterest,PrincipleAfterRemovingAmount,Balance
22/04/2016,12500,1000,1.71232876712329,998.287671232877,11501.7123287671,0,
23/04/2016,11501.7123287671,1000,1.57557703133796,998.424422968662,10503.2879057985,0,
24/04/2016,10503.2879057985,1000,1.43880656243815,998.561193437562,9504.7267123609,0,
25/04/2016,9504.7267123609,1000,1.30201735785766,998.697982642142,8506.02872971876,0,
26/04/2016,8506.02872971876,1000,1.16520941502997,998.83479058497,7507.19393913379,0,
27/04/2016,7507.19393913379,1000,1.02838273138819,998.971617268612,6508.22232186518,0,
28/04/2016,6508.22232186518,1000,0.891537304365092,999.108462695635,5509.11385916954,0,
29/04/2016,5509.11385916954,1000,0.754673131393088,999.245326868607,4509.86853230093,0,
30/04/2016,4509.86853230093,1000,0.617790209904237,999.382209790096,3510.48632251084,0,
01/05/2016,3510.48632251084,1000,0.480888537330252,999.51911146267,2510.96721104817,0,
02/05/2016,2510.96721104817,1000,0.343968111102489,999.656031888897,1511.31117915927,0,
03/05/2016,1511.31117915927,1000,0.207028928651955,999.792971071348,511.518208087923,0,
04/05/2016,511.518208087923,1000,0.0700709874093045,999.929929012591,0,488.411720924668,
